,miRNA,70459-genome-miRNAcount,miRNA,70460-genome-miRNAcount,miRNA,70461-genome-miRNAcount,miRNA,74665-genome-miRNAcount,miRNA,74666-genome-miRNAcount,miRNA,74667-genome-miRNAcount,miRNA,74668-genome-miRNAcount,miRNA,74669-genome-miRNAcount,miRNA,74670-genome-miRNAcount,miRNA,74671-genome-miRNAcount,miRNA,74672-genome-miRNAcount,miRNA,74673-genome-miRNAcount,miRNA,74674-genome-miRNAcount,miRNA,74675-genome-miRNAcount,miRNA,74676-genome-miRNAcount,miRNA,74677-genome-miRNAcount,miRNA,74678-genome-miRNAcount,miRNA,74679-genome-miRNAcount,miRNA,74680-genome-miRNAcount,miRNA,74681-genome-miRNAcount,miRNA,74682-genome-miRNAcount
1547,hsa-miR-4742-5p,0,       0,hsa-miR-548ac,hsa-miR-4768-3p,0,hsa-miR-4733-5p,0,hsa-miR-4757-5p,0,hsa-miR-4708-3p,0,hsa-miR-4750-5p,0,hsa-miR-4761-3p,0,hsa-miR-4747-5p,0,hsa-miR-4697-3p,0,hsa-miR-4789-3p,0,hsa-miR-4735-5p,0,hsa-miR-4742-5p,0,hsa-miR-4704-3p,0,hsa-miR-4762-5p,0,hsa-miR-4672,0,hsa-miR-4748,0,hsa-miR-4727-5p,0,hsa-miR-4752,0,hsa-miR-4754,0,hsa-miR-4755-5p,0
1548,hsa-miR-4743-3p,0,       0,hsa-miR-548ad-3p,hsa-miR-4768-5p,0,hsa-miR-4734,0,hsa-miR-4758-3p,0,hsa-miR-4708-5p,0,hsa-miR-4751,0,hsa-miR-4761-5p,0,hsa-miR-4748,0,hsa-miR-4697-5p,0,hsa-miR-4789-5p,0,hsa-miR-4736,0,hsa-miR-4743-3p,0,hsa-miR-4704-5p,0,hsa-miR-4763-3p,0,hsa-miR-4673,0,hsa-miR-4749-3p,0,hsa-miR-4728-3p,1,hsa-miR-4753-3p,0,hsa-miR-4755-3p,0,hsa-miR-4756-3p,0
1549,hsa-miR-4743-5p,0,       0,hsa-miR-548ad-5p,hsa-miR-4769-3p,0,hsa-miR-4735-3p,0,hsa-miR-4758-5p,0,hsa-miR-4709-3p,0,hsa-miR-4752,0,hsa-miR-4762-3p,0,hsa-miR-4749-3p,0,hsa-miR-4698,0,hsa-miR-4790-3p,0,hsa-miR-4737,0,hsa-miR-4743-5p,0,hsa-miR-4705,0,hsa-miR-4763-5p,0,hsa-miR-4674,0,hsa-miR-4749-5p,0,hsa-miR-4728-5p,0,hsa-miR-4753-5p,0,hsa-miR-4755-5p,0,hsa-miR-4756-5p,0
1550,hsa-miR-4744,0,       0,hsa-miR-548ae-3p,hsa-miR-4769-5p,0,hsa-miR-4735-5p,0,hsa-miR-4759,0,hsa-miR-4709-5p,0,hsa-miR-4753-3p,0,hsa-miR-4762-5p,0,hsa-miR-4749-5p,0,hsa-miR-4699-3p,0,hsa-miR-4790-5p,0,hsa-miR-4738-3p,0,hsa-miR-4744,0,hsa-miR-4706,0,hsa-miR-4764-3p,0,hsa-miR-4675,0,hsa-miR-4750-3p,0,hsa-miR-4729,0,hsa-miR-4754,0,hsa-miR-4756-3p,0,hsa-miR-4757-3p,0
1551,hsa-miR-4745-3p,0,       0,hsa-miR-548ae-5p,hsa-miR-4770,0,hsa-miR-4736,0,hsa-miR-4760-3p,0,hsa-miR-4710,0,hsa-miR-4753-5p,0,hsa-miR-4763-3p,0,hsa-miR-4750-3p,0,hsa-miR-4699-5p,0,hsa-miR-4791,0,hsa-miR-4738-5p,0,hsa-miR-4745-3p,0,hsa-miR-4707-3p,0,hsa-miR-4764-5p,0,hsa-miR-4676-3p,2,hsa-miR-4750-5p,0,hsa-miR-4730,0,hsa-miR-4755-3p,0,hsa-miR-4756-5p,0,hsa-miR-4757-5p,0
1552,hsa-miR-4745-5p,0,       0,hsa-miR-548ag,hsa-miR-4771,0,hsa-miR-4737,0,hsa-miR-4760-5p,0,hsa-miR-4711-3p,0,hsa-miR-4754,0,hsa-miR-4763-5p,0,hsa-miR-4750-5p,0,hsa-miR-4700-3p,0,hsa-miR-4793-3p,0,hsa-miR-4739,0,hsa-miR-4745-5p,0,hsa-miR-4707-5p,0,hsa-miR-4765,0,hsa-miR-4676-3p,3,hsa-miR-4751,0,hsa-miR-4731-3p,0,hsa-miR-4755-5p,0,hsa-miR-4757-3p,0,hsa-miR-4758-3p,0
1553,hsa-miR-4746-3p,0,       0,hsa-miR-548ah-3p,hsa-miR-4772-3p,0,hsa-miR-4738-3p,0,hsa-miR-4761-3p,0,hsa-miR-4711-5p,0,hsa-miR-4755-3p,0,hsa-miR-4764-3p,0,hsa-miR-4751,0,hsa-miR-4700-5p,0,hsa-miR-4793-5p,0,hsa-miR-4740-3p,0,hsa-miR-4746-3p,0,hsa-miR-4708-3p,0,hsa-miR-4766-3p,0,hsa-miR-4676-5p,0,hsa-miR-4752,0,hsa-miR-4731-5p,0,hsa-miR-4756-3p,0,hsa-miR-4757-5p,0,hsa-miR-4758-5p,0
1554,hsa-miR-4746-5p,0,       0,hsa-miR-548ah-5p,hsa-miR-4772-5p,0,hsa-miR-4738-5p,0,hsa-miR-4761-5p,0,hsa-miR-4712-3p,0,hsa-miR-4755-5p,1,hsa-miR-4764-5p,0,hsa-miR-4752,0,hsa-miR-4701-3p,0,hsa-miR-4794,0,hsa-miR-4740-5p,0,hsa-miR-4746-5p,0,hsa-miR-4708-5p,0,hsa-miR-4766-5p,0,hsa-miR-4677-3p,2,hsa-miR-4753-3p,0,hsa-miR-4732-3p,0,hsa-miR-4756-5p,0,hsa-miR-4758-3p,0,hsa-miR-4759,0
1555,hsa-miR-4747-3p,0,       0,hsa-miR-548ai,hsa-miR-4773,0,hsa-miR-4739,0,hsa-miR-4762-3p,0,hsa-miR-4712-5p,0,hsa-miR-4756-3p,0,hsa-miR-4765,0,hsa-miR-4753-3p,0,hsa-miR-4701-5p,0,hsa-miR-4795-3p,0,hsa-miR-4741,1,hsa-miR-4747-3p,1,hsa-miR-4709-3p,0,hsa-miR-4767,1,hsa-miR-4677-3p,15,hsa-miR-4753-5p,0,hsa-miR-4732-5p,0,hsa-miR-4757-3p,0,hsa-miR-4758-5p,0,hsa-miR-4760-3p,0
1556,hsa-miR-4747-5p,0,       0,hsa-miR-548aj-3p,hsa-miR-4774-3p,0,hsa-miR-4740-3p,0,hsa-miR-4762-5p,0,hsa-miR-4713-3p,0,hsa-miR-4756-5p,0,hsa-miR-4766-3p,0,hsa-miR-4753-5p,0,hsa-miR-4703-3p,0,hsa-miR-4795-5p,0,hsa-miR-4742-3p,0,hsa-miR-4747-5p,1,hsa-miR-4709-5p,0,hsa-miR-4768-3p,0,hsa-miR-4677-5p,1,hsa-miR-4754,0,hsa-miR-4733-3p,0,hsa-miR-4757-5p,0,hsa-miR-4759,0,hsa-miR-4760-5p,0
1557,hsa-miR-4748,0,       0,hsa-miR-548aj-5p,hsa-miR-4774-5p,0,hsa-miR-4740-5p,0,hsa-miR-4763-3p,0,hsa-miR-4713-5p,0,hsa-miR-4757-3p,0,hsa-miR-4766-5p,0,hsa-miR-4754,0,hsa-miR-4703-5p,0,hsa-miR-4796-3p,0,hsa-miR-4742-5p,0,hsa-miR-4748,0,hsa-miR-4710,0,hsa-miR-4768-5p,0,hsa-miR-4677-5p,2,hsa-miR-4755-3p,0,hsa-miR-4733-5p,0,hsa-miR-4758-3p,0,hsa-miR-4760-3p,0,hsa-miR-4761-3p,0
1558,hsa-miR-4749-3p,0,       0,hsa-miR-548ak,hsa-miR-4775,0,hsa-miR-4741,0,hsa-miR-4763-5p,0,hsa-miR-4714-3p,1,hsa-miR-4757-5p,0,hsa-miR-4767,0,hsa-miR-4755-3p,0,hsa-miR-4704-3p,0,hsa-miR-4796-5p,0,hsa-miR-4743-3p,0,hsa-miR-4749-3p,0,hsa-miR-4711-3p,0,hsa-miR-4769-3p,0,hsa-miR-4678,0,hsa-miR-4755-5p,0,hsa-miR-4734,0,hsa-miR-4758-5p,0,hsa-miR-4760-5p,0,hsa-miR-4761-5p,0
1559,hsa-miR-4749-5p,0,       0,hsa-miR-548al,hsa-miR-4776-3p,0,hsa-miR-4742-3p,0,hsa-miR-4764-3p,0,hsa-miR-4714-3p,2,hsa-miR-4758-3p,0,hsa-miR-4768-3p,0,hsa-miR-4755-5p,0,hsa-miR-4704-5p,0,hsa-miR-4797-3p,0,hsa-miR-4743-5p,0,hsa-miR-4749-5p,0,hsa-miR-4711-5p,0,hsa-miR-4769-5p,0,hsa-miR-4679,0,hsa-miR-4756-3p,0,hsa-miR-4735-3p,0,hsa-miR-4759,0,hsa-miR-4761-3p,0,hsa-miR-4762-3p,0
1560,hsa-miR-4750-3p,0,       0,hsa-miR-548am-3p,hsa-miR-4776-5p,0,hsa-miR-4742-5p,0,hsa-miR-4764-5p,0,hsa-miR-4714-5p,0,hsa-miR-4758-5p,0,hsa-miR-4768-5p,0,hsa-miR-4756-3p,0,hsa-miR-4705,0,hsa-miR-4797-5p,0,hsa-miR-4744,0,hsa-miR-4750-3p,0,hsa-miR-4712-3p,0,hsa-miR-4770,0,hsa-miR-4680-3p,0,hsa-miR-4756-5p,0,hsa-miR-4735-5p,0,hsa-miR-4760-3p,0,hsa-miR-4761-5p,0,hsa-miR-4762-5p,0
1561,hsa-miR-4750-5p,0,       0,hsa-miR-548am-5p,hsa-miR-4777-3p,0,hsa-miR-4743-3p,0,hsa-miR-4765,0,hsa-miR-4715-3p,0,hsa-miR-4759,0,hsa-miR-4769-3p,0,hsa-miR-4756-5p,0,hsa-miR-4706,1,hsa-miR-4798-3p,0,hsa-miR-4745-3p,0,hsa-miR-4750-5p,2,hsa-miR-4712-5p,0,hsa-miR-4771,0,hsa-miR-4680-5p,0,hsa-miR-4757-3p,0,hsa-miR-4736,0,hsa-miR-4760-5p,0,hsa-miR-4762-3p,0,hsa-miR-4763-3p,0
1562,hsa-miR-4751,0,       0,hsa-miR-548an,hsa-miR-4777-5p,0,hsa-miR-4743-5p,0,hsa-miR-4766-3p,0,hsa-miR-4715-5p,0,hsa-miR-4760-3p,0,hsa-miR-4769-5p,0,hsa-miR-4757-3p,0,hsa-miR-4707-3p,0,hsa-miR-4798-5p,0,hsa-miR-4745-5p,0,hsa-miR-4751,0,hsa-miR-4713-3p,0,hsa-miR-4772-3p,0,hsa-miR-4681,0,hsa-miR-4757-5p,0,hsa-miR-4737,0,hsa-miR-4761-3p,0,hsa-miR-4762-5p,0,hsa-miR-4763-5p,0
1563,hsa-miR-4752,0,       0,hsa-miR-548ao-3p,hsa-miR-4778-3p,0,hsa-miR-4744,0,hsa-miR-4766-5p,0,hsa-miR-4716-3p,0,hsa-miR-4760-5p,0,hsa-miR-4770,0,hsa-miR-4757-5p,0,hsa-miR-4707-5p,0,hsa-miR-4799-3p,0,hsa-miR-4746-3p,0,hsa-miR-4752,0,hsa-miR-4713-5p,0,hsa-miR-4772-5p,0,hsa-miR-4682,0,hsa-miR-4758-3p,0,hsa-miR-4738-3p,0,hsa-miR-4761-5p,0,hsa-miR-4763-3p,0,hsa-miR-4764-3p,0
1564,hsa-miR-4753-3p,0,       0,hsa-miR-548ao-5p,hsa-miR-4778-5p,0,hsa-miR-4745-3p,1,hsa-miR-4767,1,hsa-miR-4716-5p,0,hsa-miR-4761-3p,0,hsa-miR-4771,0,hsa-miR-4758-3p,0,hsa-miR-4708-3p,0,hsa-miR-4799-5p,0,hsa-miR-4746-5p,0,hsa-miR-4753-3p,0,hsa-miR-4714-3p,0,hsa-miR-4773,0,hsa-miR-4683,0,hsa-miR-4758-5p,0,hsa-miR-4738-5p,0,hsa-miR-4762-3p,0,hsa-miR-4763-5p,0,hsa-miR-4764-5p,0
1565,hsa-miR-4753-5p,0,       0,hsa-miR-548ap-3p,hsa-miR-4779,0,hsa-miR-4745-5p,0,hsa-miR-4768-3p,0,hsa-miR-4717-3p,0,hsa-miR-4761-5p,0,hsa-miR-4772-3p,0,hsa-miR-4758-5p,0,hsa-miR-4708-5p,0,hsa-miR-4800-3p,0,hsa-miR-4747-3p,0,hsa-miR-4753-5p,0,hsa-miR-4714-3p,1,hsa-miR-4774-3p,0,hsa-miR-4684-3p,0,hsa-miR-4759,0,hsa-miR-4739,0,hsa-miR-4762-5p,0,hsa-miR-4764-3p,0,hsa-miR-4765,0
1566,hsa-miR-4754,0,       0,hsa-miR-548ap-5p,hsa-miR-4780,0,hsa-miR-4746-3p,0,hsa-miR-4768-5p,0,hsa-miR-4717-5p,0,hsa-miR-4762-3p,0,hsa-miR-4772-5p,1,hsa-miR-4759,0,hsa-miR-4709-3p,0,hsa-miR-4800-5p,0,hsa-miR-4747-5p,2,hsa-miR-4754,0,hsa-miR-4714-5p,0,hsa-miR-4774-5p,0,hsa-miR-4684-5p,0,hsa-miR-4760-3p,0,hsa-miR-4740-3p,0,hsa-miR-4763-3p,0,hsa-miR-4764-5p,0,hsa-miR-4766-3p,0
1567,hsa-miR-4755-3p,0,       0,hsa-miR-548aq-3p,hsa-miR-4781-3p,0,hsa-miR-4746-5p,1,hsa-miR-4769-3p,0,hsa-miR-4718,0,hsa-miR-4762-5p,0,hsa-miR-4773,0,hsa-miR-4760-3p,0,hsa-miR-4709-5p,0,hsa-miR-4801,0,hsa-miR-4748,0,hsa-miR-4755-3p,0,hsa-miR-4715-3p,0,hsa-miR-4775,0,hsa-miR-4685-3p,0,hsa-miR-4760-5p,0,hsa-miR-4740-5p,0,hsa-miR-4763-5p,1,hsa-miR-4765,0,hsa-miR-4766-5p,0
1568,hsa-miR-4755-5p,0,       0,hsa-miR-548aq-5p,hsa-miR-4781-5p,0,hsa-miR-4747-3p,0,hsa-miR-4769-5p,0,hsa-miR-4719,0,hsa-miR-4763-3p,0,hsa-miR-4774-3p,0,hsa-miR-4760-5p,0,hsa-miR-4710,0,hsa-miR-4802-3p,0,hsa-miR-4749-3p,0,hsa-miR-4755-5p,0,hsa-miR-4715-5p,0,hsa-miR-4776-3p,0,hsa-miR-4685-5p,0,hsa-miR-4761-3p,0,hsa-miR-4741,1,hsa-miR-4764-3p,0,hsa-miR-4766-3p,0,hsa-miR-4767,0
1569,hsa-miR-4756-3p,0,       0,hsa-miR-548ar-3p,hsa-miR-4782-3p,0,hsa-miR-4747-5p,1,hsa-miR-4770,0,hsa-miR-4720-3p,0,hsa-miR-4763-5p,0,hsa-miR-4774-5p,0,hsa-miR-4761-3p,0,hsa-miR-4711-3p,0,hsa-miR-4802-5p,0,hsa-miR-4749-5p,1,hsa-miR-4756-3p,0,hsa-miR-4716-3p,0,hsa-miR-4776-5p,0,hsa-miR-4686,0,hsa-miR-4761-5p,0,hsa-miR-4742-3p,0,hsa-miR-4764-5p,0,hsa-miR-4766-5p,0,hsa-miR-4768-3p,0
1570,hsa-miR-4756-5p,0,       0,hsa-miR-548ar-5p,hsa-miR-4782-5p,0,hsa-miR-4748,0,hsa-miR-4771,0,hsa-miR-4720-5p,0,hsa-miR-4764-3p,0,hsa-miR-4775,0,hsa-miR-4761-5p,0,hsa-miR-4711-5p,0,hsa-miR-4803,0,hsa-miR-4750-3p,0,hsa-miR-4756-5p,0,hsa-miR-4716-5p,1,hsa-miR-4777-3p,0,hsa-miR-4686,3,hsa-miR-4762-3p,0,hsa-miR-4742-5p,0,hsa-miR-4765,0,hsa-miR-4767,0,hsa-miR-4768-5p,0
1571,hsa-miR-4757-3p,0,       0,hsa-miR-548as-3p,hsa-miR-4783-3p,0,hsa-miR-4749-3p,0,hsa-miR-4772-3p,0,hsa-miR-4721,0,hsa-miR-4764-5p,0,hsa-miR-4776-3p,0,hsa-miR-4762-3p,0,hsa-miR-4712-3p,0,hsa-miR-4804-3p,0,hsa-miR-4750-5p,0,hsa-miR-4757-3p,0,hsa-miR-4717-3p,0,hsa-miR-4777-5p,0,hsa-miR-4687-3p,1,hsa-miR-4762-5p,0,hsa-miR-4743-3p,0,hsa-miR-4766-3p,0,hsa-miR-4768-3p,0,hsa-miR-4769-3p,0
1572,hsa-miR-4757-5p,0,       0,hsa-miR-548as-5p,hsa-miR-4783-5p,0,hsa-miR-4749-5p,0,hsa-miR-4772-5p,0,hsa-miR-4722-3p,0,hsa-miR-4765,0,hsa-miR-4776-5p,0,hsa-miR-4762-5p,0,hsa-miR-4712-5p,0,hsa-miR-4804-5p,0,hsa-miR-4751,0,hsa-miR-4757-5p,0,hsa-miR-4717-5p,0,hsa-miR-4778-3p,0,hsa-miR-4687-3p,2,hsa-miR-4763-3p,0,hsa-miR-4743-5p,0,hsa-miR-4766-5p,0,hsa-miR-4768-5p,0,hsa-miR-4769-5p,0
1573,hsa-miR-4758-3p,0,       0,hsa-miR-548at-3p,hsa-miR-4784,0,hsa-miR-4750-3p,0,hsa-miR-4773,0,hsa-miR-4722-5p,0,hsa-miR-4766-3p,0,hsa-miR-4777-3p,0,hsa-miR-4763-3p,0,hsa-miR-4713-3p,0,hsa-miR-483-3p,0,hsa-miR-4752,0,hsa-miR-4758-3p,0,hsa-miR-4718,0,hsa-miR-4778-5p,0,hsa-miR-4687-5p,2,hsa-miR-4763-5p,0,hsa-miR-4744,0,hsa-miR-4767,0,hsa-miR-4769-3p,0,hsa-miR-4770,0
1574,hsa-miR-4758-5p,0,       0,hsa-miR-548at-5p,hsa-miR-4785,0,hsa-miR-4750-5p,0,hsa-miR-4774-3p,0,hsa-miR-4723-3p,0,hsa-miR-4766-5p,0,hsa-miR-4777-5p,0,hsa-miR-4763-5p,0,hsa-miR-4713-5p,0,hsa-miR-483-5p,0,hsa-miR-4753-3p,0,hsa-miR-4758-5p,0,hsa-miR-4719,0,hsa-miR-4779,0,hsa-miR-4687-5p,3,hsa-miR-4764-3p,0,hsa-miR-4745-3p,0,hsa-miR-4768-3p,0,hsa-miR-4769-5p,0,hsa-miR-4771,0
1575,hsa-miR-4759,0,       0,hsa-miR-548au-3p,hsa-miR-4786-3p,0,hsa-miR-4751,0,hsa-miR-4774-5p,0,hsa-miR-4723-5p,0,hsa-miR-4767,0,hsa-miR-4778-3p,0,hsa-miR-4764-3p,0,hsa-miR-4714-3p,1,hsa-miR-484,1,hsa-miR-4753-5p,0,hsa-miR-4759,0,hsa-miR-4720-3p,0,hsa-miR-4780,0,hsa-miR-4688,2,hsa-miR-4764-5p,0,hsa-miR-4745-5p,0,hsa-miR-4768-5p,0,hsa-miR-4770,0,hsa-miR-4772-3p,0
1576,hsa-miR-4760-3p,0,       0,hsa-miR-548au-5p,hsa-miR-4786-5p,0,hsa-miR-4752,0,hsa-miR-4775,0,hsa-miR-4724-3p,0,hsa-miR-4768-3p,0,hsa-miR-4778-5p,0,hsa-miR-4764-5p,0,hsa-miR-4714-3p,2,hsa-miR-484,2,hsa-miR-4754,0,hsa-miR-4760-3p,0,hsa-miR-4720-5p,0,hsa-miR-4781-3p,0,hsa-miR-4688,3,hsa-miR-4765,0,hsa-miR-4746-3p,0,hsa-miR-4769-3p,0,hsa-miR-4771,0,hsa-miR-4772-5p,0
1577,hsa-miR-4760-5p,0,       0,hsa-miR-548av-3p,hsa-miR-4787-3p,0,hsa-miR-4753-3p,0,hsa-miR-4776-3p,0,hsa-miR-4724-5p,0,hsa-miR-4768-5p,0,hsa-miR-4779,0,hsa-miR-4765,0,hsa-miR-4714-5p,0,hsa-miR-485-3p,0,hsa-miR-4755-3p,1,hsa-miR-4760-5p,0,hsa-miR-4721,0,hsa-miR-4781-5p,0,hsa-miR-4689,0,hsa-miR-4766-3p,0,hsa-miR-4746-5p,0,hsa-miR-4769-5p,0,hsa-miR-4772-3p,1,hsa-miR-4773,0
1578,hsa-miR-4761-3p,0,       0,hsa-miR-548av-5p,hsa-miR-4787-5p,0,hsa-miR-4753-5p,0,hsa-miR-4776-5p,0,hsa-miR-4725-3p,0,hsa-miR-4769-3p,0,hsa-miR-4780,0,hsa-miR-4766-3p,0,hsa-miR-4715-3p,0,hsa-miR-485-5p,0,hsa-miR-4755-5p,0,hsa-miR-4761-3p,0,hsa-miR-4722-3p,0,hsa-miR-4782-3p,0,hsa-miR-4690-3p,0,hsa-miR-4766-5p,0,hsa-miR-4747-3p,0,hsa-miR-4770,0,hsa-miR-4772-5p,0,hsa-miR-4774-3p,0
1579,hsa-miR-4761-5p,0,       0,hsa-miR-548aw,hsa-miR-4788,0,hsa-miR-4754,0,hsa-miR-4777-3p,0,hsa-miR-4725-5p,0,hsa-miR-4769-5p,0,hsa-miR-4781-3p,0,hsa-miR-4766-5p,0,hsa-miR-4715-5p,0,hsa-miR-486-3p,382,hsa-miR-4756-3p,0,hsa-miR-4761-5p,0,hsa-miR-4722-5p,0,hsa-miR-4782-5p,0,hsa-miR-4690-5p,0,hsa-miR-4767,0,hsa-miR-4747-5p,0,hsa-miR-4771,0,hsa-miR-4773,0,hsa-miR-4774-5p,0
1580,hsa-miR-4762-3p,0,       0,hsa-miR-548ax,hsa-miR-4789-3p,0,hsa-miR-4755-3p,1,hsa-miR-4777-5p,0,hsa-miR-4726-3p,0,hsa-miR-4770,0,hsa-miR-4781-5p,0,hsa-miR-4767,0,hsa-miR-4716-3p,0,hsa-miR-486-3p,682,hsa-miR-4756-5p,0,hsa-miR-4762-3p,0,hsa-miR-4723-3p,0,hsa-miR-4783-3p,0,hsa-miR-4691-3p,0,hsa-miR-4768-3p,0,hsa-miR-4748,0,hsa-miR-4772-3p,0,hsa-miR-4774-3p,0,hsa-miR-4775,0
1581,hsa-miR-4762-5p,0,       0,hsa-miR-548ay-3p,hsa-miR-4789-5p,0,hsa-miR-4755-5p,0,hsa-miR-4778-3p,0,hsa-miR-4726-5p,0,hsa-miR-4771,0,hsa-miR-4782-3p,0,hsa-miR-4768-3p,0,hsa-miR-4716-5p,0,hsa-miR-486-5p,382,hsa-miR-4757-3p,0,hsa-miR-4762-5p,0,hsa-miR-4723-5p,0,hsa-miR-4783-5p,0,hsa-miR-4691-5p,0,hsa-miR-4768-5p,0,hsa-miR-4749-3p,1,hsa-miR-4772-5p,0,hsa-miR-4774-5p,0,hsa-miR-4776-3p,0
1582,hsa-miR-4763-3p,0,       0,hsa-miR-548ay-5p,hsa-miR-4790-3p,0,hsa-miR-4756-3p,0,hsa-miR-4778-5p,0,hsa-miR-4727-3p,0,hsa-miR-4772-3p,3,hsa-miR-4782-5p,0,hsa-miR-4768-5p,0,hsa-miR-4717-3p,0,hsa-miR-486-5p,682,hsa-miR-4757-5p,0,hsa-miR-4763-3p,0,hsa-miR-4724-3p,0,hsa-miR-4784,0,hsa-miR-4692,0,hsa-miR-4769-3p,0,hsa-miR-4749-5p,0,hsa-miR-4773,0,hsa-miR-4775,0,hsa-miR-4776-5p,0
1583,hsa-miR-4763-5p,0,       0,hsa-miR-548az-3p,hsa-miR-4790-5p,0,hsa-miR-4756-5p,0,hsa-miR-4779,0,hsa-miR-4727-5p,0,hsa-miR-4772-5p,0,hsa-miR-4783-3p,0,hsa-miR-4769-3p,0,hsa-miR-4717-3p,3,hsa-miR-487a-3p,0,hsa-miR-4758-3p,0,hsa-miR-4763-5p,0,hsa-miR-4724-5p,0,hsa-miR-4785,0,hsa-miR-4693-3p,0,hsa-miR-4769-5p,0,hsa-miR-4750-3p,1,hsa-miR-4774-3p,0,hsa-miR-4776-3p,0,hsa-miR-4777-3p,0
1584,hsa-miR-4764-3p,0,       0,hsa-miR-548az-5p,hsa-miR-4791,0,hsa-miR-4757-3p,0,hsa-miR-4780,0,hsa-miR-4728-3p,1,hsa-miR-4773,0,hsa-miR-4783-5p,0,hsa-miR-4769-5p,0,hsa-miR-4717-5p,0,hsa-miR-487a-5p,0,hsa-miR-4758-5p,0,hsa-miR-4764-3p,0,hsa-miR-4725-3p,0,hsa-miR-4786-3p,0,hsa-miR-4693-5p,0,hsa-miR-4770,0,hsa-miR-4750-5p,1,hsa-miR-4774-5p,0,hsa-miR-4776-5p,0,hsa-miR-4777-5p,0
1585,hsa-miR-4764-5p,0,       0,hsa-miR-548b-3p,hsa-miR-4793-3p,0,hsa-miR-4757-5p,0,hsa-miR-4781-3p,0,hsa-miR-4728-5p,0,hsa-miR-4774-3p,0,hsa-miR-4784,0,hsa-miR-4770,0,hsa-miR-4718,0,hsa-miR-487b-3p,0,hsa-miR-4759,0,hsa-miR-4764-5p,0,hsa-miR-4725-5p,0,hsa-miR-4786-5p,0,hsa-miR-4694-3p,0,hsa-miR-4771,0,hsa-miR-4751,0,hsa-miR-4775,0,hsa-miR-4777-3p,0,hsa-miR-4778-3p,0
1586,hsa-miR-4765,0,       0,hsa-miR-548b-5p,hsa-miR-4793-5p,0,hsa-miR-4758-3p,0,hsa-miR-4781-5p,0,hsa-miR-4729,0,hsa-miR-4774-5p,0,hsa-miR-4785,0,hsa-miR-4771,0,hsa-miR-4719,0,hsa-miR-487b-5p,0,hsa-miR-4760-3p,0,hsa-miR-4765,0,hsa-miR-4726-3p,0,hsa-miR-4787-3p,0,hsa-miR-4694-5p,0,hsa-miR-4772-3p,1,hsa-miR-4752,0,hsa-miR-4776-3p,0,hsa-miR-4777-5p,0,hsa-miR-4778-5p,0
1587,hsa-miR-4766-3p,0,       0,hsa-miR-548ba,hsa-miR-4794,0,hsa-miR-4758-5p,0,hsa-miR-4782-3p,0,hsa-miR-4730,0,hsa-miR-4775,0,hsa-miR-4786-3p,0,hsa-miR-4772-3p,0,hsa-miR-4720-3p,0,hsa-miR-488-3p,0,hsa-miR-4760-5p,0,hsa-miR-4766-3p,0,hsa-miR-4726-5p,0,hsa-miR-4787-5p,0,hsa-miR-4695-3p,0,hsa-miR-4772-5p,1,hsa-miR-4753-3p,0,hsa-miR-4776-5p,0,hsa-miR-4778-3p,0,hsa-miR-4779,0
1588,hsa-miR-4766-5p,0,       0,hsa-miR-548bb-3p,hsa-miR-4795-3p,0,hsa-miR-4759,0,hsa-miR-4782-5p,0,hsa-miR-4731-3p,0,hsa-miR-4776-3p,0,hsa-miR-4786-5p,0,hsa-miR-4772-5p,0,hsa-miR-4720-5p,0,hsa-miR-488-5p,0,hsa-miR-4761-3p,0,hsa-miR-4766-5p,0,hsa-miR-4727-3p,0,hsa-miR-4788,0,hsa-miR-4695-5p,0,hsa-miR-4773,0,hsa-miR-4753-5p,0,hsa-miR-4777-3p,0,hsa-miR-4778-5p,0,hsa-miR-4780,0
1589,hsa-miR-4767,0,       0,hsa-miR-548bb-5p,hsa-miR-4795-5p,0,hsa-miR-4760-3p,0,hsa-miR-4783-3p,0,hsa-miR-4731-5p,0,hsa-miR-4776-5p,0,hsa-miR-4787-3p,0,hsa-miR-4773,0,hsa-miR-4721,0,hsa-miR-489-3p,0,hsa-miR-4761-5p,0,hsa-miR-4767,0,hsa-miR-4727-5p,0,hsa-miR-4789-3p,0,hsa-miR-4696,0,hsa-miR-4774-3p,0,hsa-miR-4754,0,hsa-miR-4777-5p,0,hsa-miR-4779,0,hsa-miR-4781-3p,0
1590,hsa-miR-4768-3p,0,       0,hsa-miR-548bc,hsa-miR-4796-3p,0,hsa-miR-4760-5p,0,hsa-miR-4783-5p,0,hsa-miR-4732-3p,0,hsa-miR-4777-3p,0,hsa-miR-4787-5p,0,hsa-miR-4774-3p,0,hsa-miR-4722-3p,0,hsa-miR-489-5p,0,hsa-miR-4762-3p,0,hsa-miR-4768-3p,0,hsa-miR-4728-3p,1,hsa-miR-4789-5p,0,hsa-miR-4697-3p,0,hsa-miR-4774-5p,0,hsa-miR-4755-3p,0,hsa-miR-4778-3p,0,hsa-miR-4780,0,hsa-miR-4781-5p,0
